Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Games Played,Points per Game,Rebounds per Game,Assists,Net Rating,Offensive Rebound %,Defensive Rebound %,Usage %,True Shooting %,Assist %
Matt Barnes,SAC,36,7-Jun,226,UCLA,USA,2002,2,45,49,7.4,5.2,2.7,-5.8,4.50%,19.60%,16.40%,49.00%,16.30%
Matthew Dellavedova,MIL,26,4-Jun,198,Saint Mary's (CA),Australia,Undrafted,Undrafted,Undrafted,45,7.8,2.1,5.4,-3.7,1.60%,7.30%,15.90%,50.20%,28.50%
Maurice Harkless,POR,23,9-Jun,220,St. John's (NY),USA,2012,1,15,48,10.7,4.6,1,1.2,6.00%,11.50%,16.30%,55.60%,4.90%
Maurice Ndour,NYK,24,9-Jun,200,Ohio U.,Senegal,Undrafted,Undrafted,Undrafted,19,2.4,1.4,0.1,-0.9,6.30%,15.50%,14.40%,54.20%,1.10%
Metta World Peace,LAL,37,7-Jun,260,St. John's (NY),USA,1999,1,16,18,1,0.5,0.3,-41.7,3.40%,10.20%,18.60%,28.60%,10.90%
Meyers Leonard,POR,24,1-Jul,255,Illinois,USA,2012,1,11,45,5.5,3.2,0.8,-5.1,2.50%,20.20%,16.90%,49.10%,7.90%
Michael Beasley,MIL,28,10-Jun,235,Kansas State,USA,2008,1,2,42,8.7,3.5,1,-0.9,5.00%,19.30%,24.10%,56.70%,9.60%
Michael Carter-Williams,CHI,25,6-Jun,190,Syracuse,USA,2013,1,11,21,8.8,4.8,2.6,0.1,3.70%,20.20%,21.40%,47.80%,18.10%
Michael Gbinije,DET,24,7-Jun,200,Syracuse,USA,2016,2,49,9,0.4,0.3,0.2,-1.8,5.70%,3.70%,15.70%,18.40%,8.70%
Michael Kidd-Gilchrist,CHA,23,7-Jun,232,Kentucky,USA,2012,1,2,50,9.1,7.4,1.3,2.7,7.30%,19.90%,14.70%,50.70%,6.70%
Mike Conley,MEM,29,1-Jun,175,Ohio State,USA,2007,1,4,42,19,3.7,6.2,4.3,1.80%,11.40%,26.10%,57.60%,32.80%
Mike Dunleavy,ATL,36,9-Jun,230,Duke,USA,2002,1,3,37,5.3,2.3,1,-1.7,2.20%,12.30%,14.30%,56.90%,9.50%
Mike Miller,DEN,36,8-Jun,218,Florida,USA,2000,1,5,11,1.3,1.3,0.7,-9.5,2.20%,27.10%,13.30%,64.30%,17.80%
Mike Muscala,ATL,25,11-Jun,240,Bucknell,USA,2013,2,44,46,7.3,3.7,1.4,-5,7.20%,13.60%,15.10%,60.20%,11.10%
Mike Scott,ATL,28,8-Jun,237,Virginia,USA,2012,2,43,17,2.5,2.2,0.9,-9.4,5.50%,18.20%,16.70%,35.50%,15.00%
Miles Plumlee,CHA,28,11-Jun,249,Duke,USA,2012,1,26,33,2.6,1.8,0.5,-2.8,9.30%,11.30%,14.90%,49.80%,8.20%
Mindaugas Kuzminskas,NYK,27,9-Jun,215,None,Lithuania,Undrafted,Undrafted,Undrafted,46,6,1.9,1,-1.4,5.10%,8.90%,18.30%,53.30%,9.90%
Mirza Teletovic,MIL,31,9-Jun,245,None,Bosnia & Herzegovina,Undrafted,Undrafted,Undrafted,41,7.1,2.5,0.8,5.7,1.60%,14.80%,19.60%,54.00%,6.80%
Monta Ellis,IND,31,3-Jun,185,None,USA,2005,2,40,43,7.7,2.9,3.1,-0.9,0.80%,11.00%,15.90%,50.00%,16.70%
Montrezl Harrell,HOU,23,8-Jun,240,Louisville,USA,2015,2,32,43,9.5,3.9,1.2,7.5,8.80%,12.80%,17.60%,66.20%,9.90%
Myles Turner,IND,20,11-Jun,243,Texas,USA,2015,1,11,50,15.5,7.3,1,5.5,6.10%,19.90%,20.90%,60.30%,5.40%
Nemanja Bjelica,MIN,28,10-Jun,225,None,Serbia,2010,2,35,50,5.8,3.2,1.1,-2.2,4.00%,17.80%,16.60%,52.30%,10.20%
Nene,HOU,34,11-Jun,250,None,Brazil,2002,1,7,45,8.1,3.7,0.9,8.9,7.40%,16.90%,18.70%,63.00%,8.30%
Nerlens Noel,PHI,22,11-Jun,228,Kentucky,USA,2013,1,6,24,8.2,4.8,1,-9.5,9.60%,21.10%,18.10%,62.00%,8.90%
Nick Collison,OKC,36,10-Jun,255,Kansas,USA,2003,1,12,13,1.2,1.2,0.6,-2.1,5.40%,14.90%,8.80%,61.20%,15.40%
Nick Young,LAL,31,7-Jun,210,Southern California,USA,2007,1,16,47,13.9,2.4,1,-4.8,1.80%,7.90%,19.40%,60.40%,5.80%
Nicolas Batum,CHA,28,8-Jun,200,None,France,2008,1,25,48,14.8,7.2,6,1.5,2.30%,20.30%,21.40%,53.30%,27.30%
Nicolas Brussino,DAL,23,8-Jun,215,None,Argentina,Undrafted,Undrafted,Undrafted,34,1.6,1.2,0.6,-2.9,5.00%,17.20%,12.90%,49.10%,13.90%
Nicolas Laprovittola,SAS,27,4-Jun,180,None,Argentina,Undrafted,Undrafted,Undrafted,18,3.3,0.6,1.6,-9.7,0.70%,5.80%,19.00%,57.90%,30.10%
Nik Stauskas,PHI,23,6-Jun,205,Michigan,Canada,2014,1,8,49,8.7,2.5,2.1,-7.3,0.90%,9.30%,15.40%,54.00%,12.20%
Nikola Jokic,DEN,21,10-Jun,250,None,Serbia,2014,2,41,44,15.5,8.4,4.2,4.3,12.50%,24.60%,22.60%,65.30%,25.20%
Nikola Mirotic,CHI,25,10-Jun,238,None,Montenegro,2011,1,23,46,9.1,5.2,0.8,2.2,3.60%,21.40%,19.30%,50.80%,6.00%
Nikola Vucevic,ORL,26,Jul-00,260,Southern California,Montenegro,2011,1,16,50,14,9.7,2.9,-4.6,8.00%,29.70%,24.20%,49.80%,17.30%
Noah Vonleh,POR,21,9-Jun,245,Indiana,USA,2014,1,9,44,3.4,3.9,0.2,-10.8,11.00%,22.40%,15.20%,46.50%,2.80%
Norman Powell,TOR,23,4-Jun,215,UCLA,USA,2015,2,46,49,7.3,2,1,6,2.10%,10.70%,18.90%,55.00%,8.50%
Okaro White,MIA,24,8-Jun,204,Florida State,USA,Undrafted,Undrafted,Undrafted,10,4,2.4,0.4,10,3.20%,14.40%,11.00%,67.80%,3.60%
Omer Asik,NOP,30,Jul-00,255,None,Turkey,2008,2,36,30,2.8,5.4,0.5,-4.5,10.20%,25.20%,8.80%,51.70%,4.50%
Omri Casspi,SAC,28,9-Jun,225,None,Israel,2009,1,23,22,5.9,4.1,1.2,-1.6,5.60%,20.60%,16.00%,51.10%,10.20%
Otto Porter,WAS,23,8-Jun,198,Georgetown,USA,2013,1,3,51,14.4,6.6,1.6,4.4,4.20%,17.70%,15.20%,64.90%,6.80%
PJ Tucker,PHX,31,6-Jun,245,Texas,USA,2006,2,35,52,7,5.8,1.3,-4.9,5.50%,17.50%,11.30%,52.10%,6.40%
Pascal Siakam,TOR,22,9-Jun,230,New Mexico State,Cameroon,2016,1,27,46,4.5,3.5,0.3,-1.6,8.00%,16.00%,12.90%,52.50%,2.80%
Pat Connaughton,POR,24,5-Jun,210,Notre Dame,USA,2015,2,41,24,1.7,0.8,0.5,-4.9,3.80%,10.30%,10.20%,66.90%,11.10%
Patrick Beverley,HOU,28,1-Jun,185,Arkansas,USA,2009,2,42,40,9.2,5.8,4.4,5.9,4.80%,15.80%,13.50%,54.50%,19.10%
Patrick McCaw,GSW,21,7-Jun,185,Nevada-Las Vegas,USA,2016,2,38,41,3.1,1,0.9,-2,2.00%,7.20%,12.60%,51.60%,10.30%
Patrick Patterson,TOR,27,9-Jun,235,Kentucky,USA,2010,1,14,40,7.2,5.5,1.4,13.6,4.90%,17.30%,12.30%,52.20%,7.00%
Patty Mills,SAS,28,Jun-00,185,Saint Mary's (CA),Australia,2009,2,55,50,9.9,1.9,3.3,14,1.70%,8.00%,19.70%,59.50%,22.80%
Pau Gasol,SAS,36,Jul-00,250,None,Spain,2001,1,3,39,11.7,7.9,2.7,6.5,6.80%,27.40%,20.70%,55.80%,15.50%
Paul George,IND,26,9-Jun,220,Fresno State,USA,2010,1,10,44,22.5,6.1,3.3,4.4,2.80%,16.00%,28.30%,57.50%,15.30%
Paul Millsap,ATL,31,8-Jun,246,Louisiana Tech,USA,2006,2,47,49,17.8,8,3.8,2.7,5.70%,20.10%,24.40%,53.20%,17.90%
Paul Pierce,LAC,39,7-Jun,235,Kansas,USA,1998,1,10,13,3.7,1.4,0.2,-3.1,0.00%,11.70%,15.60%,52.90%,1.80%
Paul Zipser,CHI,22,8-Jun,210,None,Germany,2016,2,48,22,4.3,2.2,0.5,2.2,2.30%,13.40%,15.20%,47.00%,4.30%
Pierre Jackson,DAL,25,10-May,180,Baylor,USA,2013,2,42,8,4.4,1.1,2.4,31.7,1.10%,11.10%,23.20%,41.60%,32.20%
Quincy Acy,BKN,26,7-Jun,240,Baylor,USA,2012,2,37,18,5.1,2.2,0.1,-11.7,8.80%,17.10%,19.30%,61.70%,1.70%
RJ Hunter,CHI,23,5-Jun,185,Georgia State,USA,2015,1,28,3,0,0.3,0,-57.8,0.00%,7.70%,4.20%,0.00%,0.00%
Rajon Rondo,CHI,30,1-Jun,186,Kentucky,USA,2006,1,21,43,6.4,5.3,6.6,-0.9,3.60%,17.80%,16.40%,40.60%,34.50%
Rakeem Christmas,IND,25,9-Jun,250,Syracuse,USA,2015,2,36,5,1.6,1,0.2,-11.6,9.50%,16.70%,18.60%,48.80%,7.70%
Ramon Sessions,CHA,30,3-Jun,190,Nevada,USA,2007,2,56,50,6.2,1.5,2.6,-4.8,1.50%,7.80%,19.70%,49.50%,24.00%
Randy Foye,BKN,33,4-Jun,218,Villanova,USA,2006,1,7,38,5.2,2.4,2.2,-9.4,0.90%,13.20%,15.30%,49.20%,17.20%
Rashad Vaughn,MIL,20,6-Jun,202,UNLV,USA,2015,1,17,21,3.9,1.2,0.4,-4.4,0.40%,11.40%,17.30%,47.20%,5.60%
Raul Neto,UTA,24,1-Jun,179,None,Brazil,2013,2,47,26,2.3,0.7,0.8,12.2,0.60%,10.30%,16.00%,50.60%,14.80%
Raymond Felton,LAC,32,1-Jun,205,North Carolina,USA,2005,1,5,50,7.9,2.9,2.6,-3.7,2.30%,11.50%,17.60%,51.40%,18.00%
Reggie Bullock,DET,25,7-Jun,205,North Carolina,USA,2013,1,25,13,5.2,2.2,0.8,-7.7,2.90%,10.70%,15.00%,52.50%,8.60%
Reggie Jackson,DET,26,3-Jun,208,Boston College,Italy,2011,1,24,31,16,2.5,5.5,-7.3,1.80%,8.10%,27.50%,51.90%,30.60%
