Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Games Played,Points per Game,Rebounds per Game,Assists,Net Rating,Offensive Rebound %,Defensive Rebound %,Usage %,True Shooting %,Assist %
AJ Hammons,DAL,24,Jul-00,260,Purdue,USA,2016,2,46,17,1.4,1.2,0.1,17.6,6.60%,21.70%,16.30%,45.50%,3.70%
Aaron Brooks,IND,32,Jun-00,161,Oregon,USA,2007,1,26,45,5.3,1.1,2.2,-2.1,2.20%,6.60%,19.40%,50.40%,23.50%
Aaron Gordon,ORL,21,9-Jun,220,Arizona,USA,2014,1,4,53,11.3,4.6,1.9,-4,5.20%,13.60%,19.80%,50.10%,10.30%
Aaron Harrison,CHA,22,6-Jun,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,5,0.2,0.6,0.6,-18.6,0.00%,20.00%,14.20%,10.20%,37.50%
Adreian Payne,MIN,25,10-Jun,237,Michigan State,USA,2014,1,15,12,4,1.7,0.3,-13,7.10%,18.20%,25.40%,52.60%,8.30%
Al Horford,BOS,30,10-Jun,245,Florida,Dominican Republic,2007,1,3,39,15.1,6.8,5.3,5,5.00%,17.90%,21.10%,54.10%,24.20%
Al Jefferson,IND,32,10-Jun,289,None,USA,2004,1,15,51,8.8,4.2,0.9,-8.4,8.80%,23.50%,26.30%,53.30%,11.20%
Al-Farouq Aminu,POR,26,9-Jun,220,Wake Forest,USA,2010,1,8,34,7.5,7.1,2.1,3.1,4.50%,22.60%,15.30%,45.30%,10.50%
Alan Anderson,LAC,34,6-Jun,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,19,3.2,1,0.5,-8.2,1.50%,8.00%,14.60%,46.60%,5.90%
Alan Williams,PHX,24,8-Jun,260,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,19,2.8,2.7,0.1,12.1,20.20%,24.80%,20.00%,55.00%,1.20%
Alec Burks,UTA,25,6-Jun,214,Colorado,USA,2011,1,12,16,6.6,1.6,0.6,7.3,2.10%,11.50%,22.40%,55.00%,7.30%
Alex Abrines,OKC,23,6-Jun,190,None,Spain,2013,2,32,42,5.5,1.1,0.5,-6.9,2.30%,6.90%,16.30%,56.80%,5.00%
Alex Len,PHX,23,1-Jul,260,Maryland,Ukraine,2013,1,5,50,7.2,6.3,0.5,-10.5,10.20%,25.60%,16.60%,55.20%,4.10%
Alexis Ajinca,NOP,28,2-Jul,248,None,France,2008,1,20,21,4.3,4.3,0.3,-12.8,7.90%,23.50%,16.00%,48.80%,3.60%
Allen Crabbe,POR,24,6-Jun,215,California,USA,2013,2,31,52,10.7,2.8,1.3,-5.6,1.00%,10.10%,14.90%,59.90%,6.90%
Alonzo Gee,DEN,29,6-Jun,225,Alabama,USA,Undrafted,Undrafted,Undrafted,13,0.8,1.1,0.5,1.4,4.60%,12.50%,10.80%,30.60%,9.20%
Amir Johnson,BOS,29,9-Jun,240,None,USA,2005,2,56,50,6.4,4.5,1.7,6,8.90%,16.40%,13.70%,61.20%,12.30%
Anderson Varejao,GSW,34,11-Jun,273,None,Brazil,2004,2,30,14,1.3,1.9,0.7,-8.4,13.30%,18.80%,12.40%,47.80%,15.20%
Andre Drummond,DET,23,11-Jun,279,Connecticut,USA,2012,1,9,51,14.6,13.7,1.1,-5.2,13.70%,37.20%,23.20%,53.20%,5.80%
Andre Iguodala,GSW,33,6-Jun,215,Arizona,USA,2004,1,9,49,6,3.9,3.4,11.5,3.20%,13.10%,9.90%,57.90%,16.50%
Andre Roberson,OKC,25,7-Jun,210,Colorado,USA,2013,1,26,53,6.6,5.1,1,2.3,3.90%,13.70%,10.30%,49.20%,4.60%
Andrew Bogut,DAL,32,Jul-00,260,Utah,Australia,2005,1,1,25,3,8.4,1.9,-1.3,9.90%,32.20%,10.40%,45.80%,13.30%
Andrew Harrison,MEM,22,6-Jun,213,Kentucky,USA,2015,2,44,51,6.4,2,3.1,-0.3,1.80%,8.60%,16.20%,46.90%,21.10%
Andrew Nicholson,WAS,27,9-Jun,250,St. Bonaventure,Canada,2012,1,19,27,2.6,1.3,0.3,-12.6,5.40%,12.00%,18.10%,43.10%,4.90%
Andrew Wiggins,MIN,21,8-Jun,199,Kansas,Canada,2014,1,1,52,22.2,4.1,2.4,-1.1,3.70%,9.30%,27.50%,53.00%,10.80%
Anthony Bennett,BKN,23,8-Jun,235,Nevada-Las Vegas,Canada,2013,1,1,23,5,3.4,0.5,-10.6,10.40%,20.70%,19.10%,53.30%,7.50%
Anthony Brown,ORL,24,7-Jun,211,Stanford,USA,2015,2,34,11,3.9,3,0.7,1.3,4.80%,16.30%,15.80%,43.00%,8.00%
Anthony Davis,NOP,23,11-Jun,253,Kentucky,USA,2012,1,1,48,27.9,12.1,2.2,0.5,6.70%,27.80%,32.90%,57.80%,11.60%
Anthony Morrow,OKC,31,5-Jun,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,36,5.8,0.7,0.5,-5.5,1.80%,3.00%,15.80%,49.90%,4.70%
Anthony Tolliver,SAC,31,8-Jun,240,Creighton,USA,Undrafted,Undrafted,Undrafted,40,7,3.7,1,-5,5.20%,14.20%,12.70%,62.00%,6.10%
Archie Goodwin,NOP,22,5-Jun,205,Kentucky,USA,2013,1,29,3,5,0,0.3,-0.8,0.00%,0.00%,14.20%,79.80%,4.00%
Arinze Onuaku,ORL,29,9-Jun,255,Syracuse,USA,Undrafted,Undrafted,Undrafted,8,0.5,0.8,0.3,-30.5,6.90%,21.10%,10.30%,50.00%,14.30%
Aron Baynes,DET,30,10-Jun,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,49,4.6,3.9,0.3,4.1,9.30%,19.10%,14.00%,56.80%,3.10%
Arron Afflalo,SAC,31,5-Jun,210,UCLA,USA,2007,1,27,44,7.8,1.9,1.2,-7.2,0.90%,8.20%,14.20%,54.90%,7.30%
Austin Rivers,LAC,24,4-Jun,200,Duke,USA,2012,1,10,50,12.1,2.1,2.8,-1.3,1.30%,7.00%,20.20%,54.40%,15.90%
Avery Bradley,BOS,26,2-Jun,180,Texas,USA,2010,1,19,36,17.7,6.9,2.4,-0.1,3.60%,18.50%,22.40%,56.10%,11.20%
Ben McLemore,SAC,23,5-Jun,195,Kansas,USA,2013,1,7,37,5.5,1.2,0.8,-9.7,1.60%,7.30%,18.70%,48.40%,7.30%
Beno Udrih,DET,34,3-Jun,205,None,Slovenia,2004,1,28,29,5.9,1.3,3.1,2.4,1.40%,9.10%,19.90%,53.30%,33.60%
Bismack Biyombo,ORL,24,9-Jun,255,None,Democratic Republic of the Congo,2011,1,7,52,6,7.3,1,-7.5,8.60%,25.10%,13.20%,53.10%,6.30%
Blake Griffin,LAC,27,10-Jun,251,Oklahoma,USA,2009,1,1,32,21.6,8.8,4.8,9.9,7.50%,21.90%,28.90%,55.50%,24.10%
Boban Marjanovic,DET,28,3-Jul,290,None,Serbia,Undrafted,Undrafted,Undrafted,21,3.9,3.2,0.1,-1.8,18.40%,29.50%,24.70%,52.70%,3.90%
Bobby Brown,HOU,32,2-Jun,175,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,15,1.2,0.3,0.1,-38.7,0.00%,10.90%,29.10%,33.30%,4.50%
Bobby Portis,CHI,21,11-Jun,246,Arkansas,USA,2015,1,22,34,4,3.3,0.5,-3.9,9.80%,21.00%,16.50%,52.00%,7.60%
Bojan Bogdanovic,BKN,27,8-Jun,225,None,Croatia,2011,2,31,50,14.1,3.4,1.6,-10.6,1.60%,11.90%,22.60%,57.40%,10.10%
Boris Diaw,UTA,34,8-Jun,250,None,France,2003,1,21,43,4.9,2,2.2,6.8,3.60%,9.00%,16.00%,50.00%,19.00%
Bradley Beal,WAS,23,5-Jun,207,Florida,USA,2012,1,3,47,22.2,2.9,3.7,7.4,1.90%,7.40%,26.30%,59.30%,16.50%
Brandan Wright,MEM,29,10-Jun,210,North Carolina,USA,2007,1,8,4,5.3,3.3,0,4.3,16.30%,12.20%,19.00%,58.70%,0.00%
Brandon Bass,LAC,31,8-Jun,250,Louisiana State,USA,2005,2,33,35,5.7,2.4,0.5,-11.4,7.40%,15.30%,19.10%,66.40%,7.70%
Brandon Ingram,LAL,19,9-Jun,190,Duke,USA,2016,1,2,54,8.1,4.1,1.9,-6.7,2.80%,13.80%,15.80%,45.20%,10.10%
Brandon Jennings,NYK,27,1-Jun,170,None,USA,2009,1,10,53,9,2.7,5,-4.2,1.50%,10.00%,18.10%,51.60%,28.90%
Brandon Knight,PHX,25,3-Jun,195,Kentucky,USA,2011,1,8,49,11.2,2.3,2.4,-12,2.20%,9.70%,25.70%,50.20%,19.70%
Brandon Rush,MIN,31,6-Jun,225,Kansas,USA,2008,1,13,18,3.3,1.6,0.7,0,3.00%,7.90%,10.90%,52.90%,6.80%
Brian Roberts,CHA,31,1-Jun,173,Dayton,USA,Undrafted,Undrafted,Undrafted,15,2.3,0.7,1.1,-12.7,2.00%,9.30%,19.50%,50.30%,30.80%
Brook Lopez,BKN,28,Jul-00,268,Stanford,USA,2008,1,10,46,20.3,5.2,2.5,-6.6,5.90%,12.30%,29.20%,57.70%,15.90%
Bruno Caboclo,TOR,21,9-Jun,205,None,Brazil,2014,1,20,8,0.4,0.8,0.4,15,10.30%,14.30%,12.10%,30.00%,18.80%
Bryn Forbes,SAS,23,3-Jun,190,Michigan State,USA,Undrafted,Undrafted,Undrafted,19,1.3,0.4,0.2,-17.4,1.10%,8.00%,13.80%,44.00%,5.80%
Buddy Hield,NOP,23,4-Jun,214,Oklahoma,Bahamas,2016,1,6,52,8.6,2.9,1.3,-7.5,1.80%,13.60%,20.50%,49.30%,10.30%
CJ McCollum,POR,25,3-Jun,190,Lehigh,USA,2013,1,10,52,23.4,3.7,3.6,-0.6,2.50%,9.40%,27.90%,59.50%,18.20%
CJ Miles,IND,29,6-Jun,225,None,USA,2005,2,34,45,10.6,3,0.6,3.5,1.60%,13.20%,18.60%,58.20%,4.20%
CJ Watson,ORL,32,2-Jun,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,41,4.4,1.5,1.7,-5.6,1.60%,8.50%,13.20%,51.80%,15.90%
CJ Wilcox,ORL,26,5-Jun,195,Washington,USA,2014,1,28,16,0.9,0.6,0.6,-8.6,2.40%,11.10%,12.60%,39.10%,18.40%
Cameron Payne,OKC,22,3-Jun,185,Murray State,USA,2015,1,14,16,4.9,1.5,2,-11.2,0.80%,9.30%,18.80%,38.40%,20.40%
Caris LeVert,BKN,22,7-Jun,203,Michigan,USA,2016,1,20,28,7.1,2.8,1.9,-3.3,1.70%,12.70%,16.00%,54.80%,13.70%
Carmelo Anthony,NYK,32,8-Jun,240,Syracuse,USA,2003,1,3,52,22.9,6,2.9,-4.9,2.60%,16.80%,29.70%,53.70%,14.90%
Chandler Parsons,MEM,28,10-Jun,230,Florida,USA,2011,2,38,24,6.5,2.3,1.4,-0.1,0.70%,13.70%,19.50%,44.40%,11.30%
Channing Frye,CLE,33,11-Jun,255,Arizona,USA,2005,1,8,43,9.2,3.5,0.7,-4.1,3.60%,17.60%,19.90%,60.30%,5.70%
Chasson Randle,PHI,24,2-Jun,185,Stanford,USA,Undrafted,Undrafted,Undrafted,8,5.3,0.6,0.8,-8.9,0.00%,6.50%,19.90%,67.10%,13.60%
Cheick Diallo,NOP,20,9-Jun,220,Kansas,Mali,2016,2,33,9,4.6,3.6,0.3,-8,11.20%,25.00%,20.20%,47.20%,5.40%
Chinanu Onuaku,HOU,20,10-Jun,245,Louisville,USA,2016,2,37,2,3,1.5,0.5,-51.9,8.30%,28.60%,10.90%,104.20%,20.00%
Chris Andersen,CLE,38,10-Jun,245,Blinn,USA,Undrafted,Undrafted,Undrafted,12,2.3,2.6,0.4,4.3,9.80%,19.10%,13.60%,49.70%,6.30%
Chris McCullough,BKN,22,9-Jun,215,Syracuse,USA,2015,1,29,13,2.7,1.3,0.2,29.4,14.10%,11.10%,20.20%,54.10%,4.10%
Chris Paul,LAC,31,Jun-00,175,Wake Forest,USA,2005,1,4,36,17.5,5.3,9.7,15.9,2.60%,15.80%,23.60%,61.10%,47.20%
Christian Wood,CHA,21,11-Jun,220,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,3,1.3,2,0.3,15.1,0.00%,31.60%,10.70%,51.50%,9.10%
Clint Capela,HOU,22,10-Jun,240,None,Switzerland,2014,1,25,39,11.9,7.6,0.9,1.7,11.80%,25.50%,20.10%,62.90%,6.10%
Cody Zeller,CHA,24,Jul-00,240,Indiana,USA,2013,1,4,38,10.9,6.6,1.4,8.1,9.40%,17.30%,16.40%,62.40%,8.30%
Cole Aldrich,MIN,28,11-Jun,250,Kansas,USA,2010,1,11,47,1.9,3,0.5,-2,11.50%,25.80%,9.10%,54.80%,7.40%
Corey Brewer,HOU,30,9-Jun,186,Florida,USA,2007,1,7,54,4.1,1.9,1,7.1,2.70%,11.30%,13.60%,48.70%,9.10%
Cory Joseph,TOR,25,3-Jun,190,Texas,Canada,2011,1,29,51,8.7,2.6,2.8,-0.6,2.60%,11.00%,18.40%,51.30%,19.10%
Courtney Lee,NYK,31,5-Jun,200,Western Kentucky,USA,2008,1,22,48,10.2,3.2,1.9,-4.7,2.60%,8.60%,13.70%,55.80%,8.80%
Cristiano Felicio,CHI,24,9-Jun,266,None,Brazil,Undrafted,Undrafted,Undrafted,43,4.6,4.9,0.6,-0.7,14.90%,20.10%,12.60%,60.20%,6.50%
D'Angelo Russell,LAL,20,5-Jun,195,Ohio State,USA,2015,1,2,38,14.5,3.9,4.8,-3.2,2.40%,13.70%,27.50%,50.50%,29.10%
D.J. Augustin,ORL,29,Jun-00,183,Texas,USA,2008,1,9,52,8.6,1.4,3.1,-10.5,0.70%,7.10%,20.10%,53.90%,25.60%
Damian Jones,GSW,21,Jul-00,245,Vanderbilt,USA,2016,1,30,3,1.3,1,0,-31.8,6.70%,11.80%,15.90%,69.40%,0.00%
Damian Lillard,POR,26,3-Jun,195,Weber State,USA,2012,1,6,47,26,4.8,5.8,-1.4,1.80%,13.50%,30.20%,57.90%,26.90%
Damjan Rudez,ORL,30,10-Jun,228,None,Croatia,Undrafted,Undrafted,Undrafted,32,2.1,0.7,0.4,-10.8,2.20%,8.80%,12.90%,53.20%,8.90%
Daniel Ochefu,WAS,23,11-Jun,245,Villanova,USA,Undrafted,Undrafted,Undrafted,13,1.1,1.2,0.2,-22.1,5.00%,33.30%,18.50%,44.10%,7.70%
Danilo Gallinari,DEN,28,10-Jun,225,None,Italy,2008,1,6,44,17.2,4.9,2.2,0,1.80%,14.00%,19.40%,60.30%,9.40%
Danny Green,SAS,29,6-Jun,215,North Carolina,USA,2009,2,46,43,7.6,3.1,1.9,8.9,1.40%,11.40%,13.10%,57.80%,10.00%
Dante Cunningham,NOP,29,8-Jun,230,Villanova,USA,2009,2,33,39,5.9,4.2,0.6,-0.4,3.70%,14.10%,10.90%,52.90%,3.70%
Dante Exum,UTA,21,6-Jun,190,None,Australia,2014,1,5,37,5.9,1.8,1.6,-1.8,2.50%,8.30%,17.50%,50.40%,14.60%
Danuel House,WAS,23,7-Jun,215,Texas A&M,USA,Undrafted,Undrafted,Undrafted,1,0,1,0,0,0.00%,100%,0.00%,0.00%,0.00%
Dario Saric,PHI,22,10-Jun,223,None,,2014,1,12,51,9.9,5.8,1.7,-9.4,6.20%,20.70%,22.20%,47.70%,12.00%
Darrell Arthur,DEN,28,9-Jun,235,Kansas,USA,2008,1,27,26,7.1,2.8,1.1,-0.4,4.60%,15.60%,18.60%,62.80%,11.00%
Darren Collison,SAC,29,Jun-00,175,UCLA,USA,2009,1,21,44,13.1,2,4,-3.8,1.60%,6.40%,19.40%,57.60%,21.50%
Darrun Hilliard,DET,23,6-Jun,205,Villanova,USA,2015,2,38,26,3.4,1,0.9,-3,0.80%,9.80%,19.70%,41.70%,12.40%
David Lee,SAS,33,9-Jun,245,Florida,USA,2005,1,30,50,7.4,5.5,1.6,12,11.50%,21.20%,16.60%,61.60%,13.10%
David West,GSW,36,9-Jun,250,Xavier,USA,2003,1,18,42,4.1,2.7,2.1,10.6,7.00%,18.70%,18.30%,58.20%,24.40%
Davis Bertans,SAS,24,10-Jun,210,None,Latvia,2011,2,42,43,4.2,1.4,0.7,8.8,2.80%,10.80%,14.60%,61.30%,8.90%
DeAndre Jordan,LAC,28,11-Jun,265,Texas A&M,USA,2008,2,35,52,12,13.7,1.2,7.2,13.00%,34.60%,14.90%,66.20%,5.50%
DeAndre Liggins,CLE,28,6-Jun,209,Kentucky,USA,2011,2,53,41,2.8,1.7,1,4.4,2.20%,10.10%,11.10%,47.00%,8.90%
DeAndre' Bembry,ATL,22,6-Jun,210,Saint Joseph's,USA,2016,1,21,22,2.8,1.5,0.6,-7.4,3.30%,13.80%,15.40%,45.50%,10.40%
DeMar DeRozan,TOR,27,7-Jun,220,Southern California,USA,2009,1,9,46,27.8,5.3,3.8,3.9,3.10%,13.70%,34.10%,55.50%,20.10%
DeMarcus Cousins,SAC,26,11-Jun,270,Kentucky,USA,2010,1,5,51,27.9,10.7,4.7,-2.3,7.40%,29.50%,37.40%,56.10%,26.80%
DeMarre Carroll,TOR,30,8-Jun,212,Missouri,USA,2009,1,27,48,9.5,3.8,0.9,4.7,3.80%,12.40%,16.20%,53.20%,4.70%
Dejounte Murray,SAS,20,5-Jun,170,Washington,USA,2016,1,29,29,3.8,0.9,1.1,2.6,2.10%,10.20%,26.80%,51.90%,21.80%
Demetrius Jackson,BOS,22,1-Jun,201,Notre Dame,USA,2016,2,45,4,2.5,1,0.8,6.3,9.10%,11.80%,17.20%,75.30%,30.00%
Dennis Schroder,ATL,23,1-Jun,172,None,Germany,2013,1,17,52,17.3,2.8,6.3,-2.5,1.80%,8.20%,27.20%,54.20%,34.10%
Denzel Valentine,CHI,23,6-Jun,212,Michigan State,USA,2016,1,14,27,3.3,1.6,0.6,-0.8,0.70%,14.20%,16.10%,44.80%,8.40%
Deron Williams,DAL,32,3-Jun,200,Illinois,USA,2005,1,3,37,13.5,2.7,7.1,-2.7,1.30%,9.80%,23.90%,53.50%,39.20%
Derrick Favors,UTA,25,10-Jun,265,Georgia Tech,USA,2010,1,3,35,9.4,6.1,1,4.5,8.30%,21.50%,21.80%,50.20%,7.50%
"Derrick Jones, Jr.",PHX,19,7-Jun,190,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,4,0.8,0,0,21,0.00%,0.00%,4.20%,104.20%,0.00%
Derrick Rose,NYK,28,3-Jun,190,Memphis,USA,2008,1,1,44,17.6,3.9,4.4,-3,3.80%,9.20%,26.30%,51.00%,21.80%
Derrick Williams,MIA,25,8-Jun,240,Arizona,USA,2011,1,2,25,5.9,2.9,0.6,-5.3,4.30%,16.90%,20.50%,46.50%,5.80%
Devin Booker,PHX,20,6-Jun,206,Kentucky,USA,2015,1,13,51,21.1,2.8,3.2,-3.9,1.90%,7.20%,27.70%,52.50%,15.40%
Devin Harris,DAL,33,3-Jun,185,Wisconsin,USA,2004,1,5,34,5.6,1.8,1.8,-0.2,1.40%,12.20%,17.60%,52.90%,16.90%
Dewayne Dedmon,SAS,27,Jul-00,245,Southern California,USA,Undrafted,Undrafted,Undrafted,45,4.9,6,0.5,13,11.00%,29.60%,12.50%,63.20%,4.70%
Deyonta Davis,MEM,20,10-Jun,240,Michigan State,USA,2016,2,31,25,1.9,2,0.1,-3,9.90%,19.50%,13.20%,52.60%,2.00%
Diamond Stone,LAC,19,11-Jun,255,Maryland,USA,2016,2,40,5,2,0.8,0,-55.4,4.50%,13.60%,30.10%,39.20%,0.00%
Dion Waiters,MIA,25,4-Jun,220,Syracuse,USA,2012,1,4,32,15.5,3.4,4.2,2.1,1.50%,10.80%,25.80%,49.60%,22.00%
Dirk Nowitzki,DAL,38,Jul-00,245,None,Germany,1998,1,9,25,12.6,5.9,1.4,-4.1,2.20%,24.20%,24.70%,50.20%,9.60%
Domantas Sabonis,OKC,20,11-Jun,240,Gonzaga,USA,2016,1,11,53,6,3.7,1.1,-2,2.70%,16.00%,14.90%,48.10%,7.10%
Donatas Motiejunas,NOP,26,Jul-00,222,None,Lithuania,2011,1,20,15,4.9,2.9,1.2,-11.2,5.20%,18.20%,16.10%,55.80%,11.30%
Dorian Finney-Smith,DAL,23,8-Jun,220,Florida,USA,Undrafted,Undrafted,Undrafted,50,4.7,2.7,0.9,-0.1,3.20%,11.90%,11.10%,53.30%,6.10%
Doug McDermott,CHI,25,8-Jun,219,Creighton,USA,2014,1,11,39,9.9,3.1,1.1,0.1,1.60%,12.20%,17.20%,55.30%,6.70%
Dragan Bender,PHX,19,1-Jul,225,None,Bosnia,2016,1,4,38,3.2,2.2,0.4,0.9,3.70%,15.30%,14.00%,47.40%,5.00%
Draymond Green,GSW,26,7-Jun,230,Michigan State,USA,2012,2,35,48,10.5,8.4,7.4,15.7,5.20%,20.70%,15.60%,53.20%,27.60%
Dwight Howard,ATL,31,11-Jun,265,None,USA,2004,1,1,47,13.7,12.9,1.3,0.6,16.40%,31.20%,18.70%,64.30%,6.90%
Dwight Powell,DAL,25,11-Jun,240,Stanford,Canada,2014,2,45,51,7.3,4.6,0.8,-3.4,8.60%,21.40%,16.00%,59.70%,6.70%
Dwyane Wade,CHI,35,4-Jun,220,Marquette,USA,2003,1,5,47,19.1,4.5,3.9,-0.9,3.70%,12.20%,29.80%,51.00%,22.20%
E'Twaun Moore,NOP,27,4-Jun,191,Purdue,USA,2011,2,55,48,9.7,2.3,2.3,-2.6,2.20%,7.50%,17.60%,54.00%,14.00%
Ed Davis,POR,27,10-Jun,245,North Carolina,USA,2010,1,13,42,4.1,5.1,0.5,-2.4,12.50%,21.30%,11.30%,56.80%,4.50%
Edy Tavares,ATL,24,3-Jul,260,None,Cabo Verde,2014,2,43,1,2,1,0,89.8,0.00%,16.70%,24.20%,53.20%,0.00%
Elfrid Payton,ORL,22,4-Jun,185,Louisiana-Lafayette,USA,2014,1,10,53,12.5,3.9,5.8,-4.6,3.00%,11.60%,21.70%,50.50%,31.10%
Emmanuel Mudiay,DEN,20,5-Jun,200,None,Democratic Republic of the Congo,2015,1,7,44,11.8,3.5,4.2,-6.5,2.30%,11.60%,22.30%,47.20%,21.70%
Enes Kanter,OKC,24,11-Jun,245,Kentucky,Switzerland,2011,1,3,47,14.4,6.7,1,0.1,14.30%,21.00%,26.40%,61.50%,8.30%
Eric Bledsoe,PHX,27,1-Jun,205,Kentucky,USA,2010,1,18,52,21.3,5.1,6.2,-6,2.90%,14.40%,27.70%,56.70%,30.80%
Eric Gordon,HOU,28,4-Jun,215,Indiana,USA,2008,1,7,50,17.3,2.7,2.8,7.7,1.20%,8.20%,23.80%,57.00%,14.70%
Ersan Ilyasova,PHI,29,10-Jun,235,None,Turkey,2005,2,36,51,14.7,6,1.7,-2,5.10%,18.40%,22.80%,56.60%,10.30%
Evan Fournier,ORL,24,7-Jun,205,None,France,2012,1,20,40,16.6,3.2,3.3,-5.8,2.20%,8.50%,23.30%,54.90%,16.80%
Evan Turner,POR,28,7-Jun,220,Ohio State,USA,2010,1,2,49,9.7,3.9,3.4,-6.3,2.30%,14.20%,18.80%,50.10%,20.50%
Frank Kaminsky,CHA,23,Jul-00,240,Wisconsin,USA,2015,1,9,49,10.3,4.2,2,0,3.70%,15.00%,21.20%,49.00%,12.50%
Fred VanVleet,TOR,22,Jun-00,195,Wichita State,USA,Undrafted,Undrafted,Undrafted,21,2.9,0.9,0.9,7.1,2.20%,11.50%,21.20%,45.60%,18.90%
Garrett Temple,SAC,30,6-Jun,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,49,7.7,2.7,2.2,-3.8,2.40%,9.50%,13.40%,56.10%,12.90%
Gary Harris,DEN,22,4-Jun,210,Michigan State,USA,2014,1,19,27,12.9,3.1,2.7,2,3.40%,9.50%,18.90%,57.50%,13.90%
Gary Neal,ATL,32,4-Jun,210,Towson,USA,Undrafted,Undrafted,Undrafted,2,2,0.5,0.5,-18,0.00%,7.70%,20.10%,22.80%,12.50%
George Hill,UTA,30,3-Jun,188,Indiana Purdue-Indianapolis,USA,2008,1,26,28,17.7,3.6,4.1,13.4,2.20%,10.40%,24.10%,60.40%,22.70%
Georges Niang,IND,23,8-Jun,230,Iowa State,USA,2016,2,50,21,0.9,0.7,0.2,-12.3,2.20%,15.90%,19.20%,27.20%,7.90%
Georgios Papagiannis,SAC,19,1-Jul,240,None,Greece,2016,1,13,2,1,0.5,0,9.7,0.00%,11.10%,11.90%,100%,0.00%
Gerald Green,BOS,31,7-Jun,205,None,USA,2005,1,18,30,4.9,1.9,0.8,-3,3.80%,15.50%,22.60%,47.80%,11.70%
Gerald Henderson,PHI,29,5-Jun,215,Duke,USA,2009,1,12,46,9.7,2.5,1.8,-7,2.00%,9.50%,17.40%,56.30%,12.10%
Giannis Antetokounmpo,MIL,22,11-Jun,222,None,Greece,2013,1,15,49,23.2,8.8,5.5,2.5,6.30%,21.40%,28.40%,60.30%,27.10%
Glenn Robinson,IND,23,6-Jun,222,Michigan,USA,2014,2,40,49,6.3,3.7,0.7,-0.4,4.40%,13.80%,12.70%,54.90%,4.60%
Goran Dragic,MIA,30,3-Jun,190,None,Slovenia,2008,2,45,44,20.1,3.9,6.5,-2,2.40%,10.20%,26.40%,58.30%,31.10%
Gordon Hayward,UTA,26,8-Jun,226,Butler,USA,2010,1,9,45,22.2,5.8,3.5,7.3,2.10%,16.30%,27.40%,60.80%,18.10%
Gorgui Dieng,MIN,27,11-Jun,240,Louisville,Senegal,2013,1,21,52,10.3,7.8,1.9,0.9,8.20%,20.40%,14.70%,56.10%,8.90%
Greg Monroe,MIL,26,11-Jun,265,Georgetown,USA,2010,1,7,49,11.1,6.7,2.1,4.4,11.40%,25.40%,23.90%,56.20%,15.30%
Greivis Vasquez,BKN,30,6-Jun,217,Maryland,Venezuela,2010,1,28,3,2.3,0.7,1.7,-18.7,0.00%,5.10%,11.00%,37.60%,18.50%
Harrison Barnes,DAL,24,8-Jun,225,North Carolina,USA,2012,1,7,51,20.1,5.3,1.5,-1.6,4.10%,14.10%,26.40%,54.00%,7.90%
Hassan Whiteside,MIA,27,Jul-00,265,Marshall,USA,2010,2,33,47,16.9,13.9,0.7,-1,12.20%,34.20%,23.00%,56.70%,3.40%
Henry Ellenson,DET,20,11-Jun,245,Marquette,USA,2016,1,18,14,1.5,0.9,0.3,-15.5,3.80%,18.90%,23.50%,44.80%,12.90%
Hollis Thompson,PHI,25,8-Jun,206,Georgetown,USA,Undrafted,Undrafted,Undrafted,31,5.5,2.7,0.8,-9.1,3.10%,13.30%,14.20%,51.00%,7.30%
Ian Clark,GSW,25,3-Jun,175,Belmont,USA,Undrafted,Undrafted,Undrafted,46,6.5,1.5,1.2,3.2,2.20%,8.40%,19.00%,58.00%,12.80%
Ian Mahinmi,WAS,30,11-Jun,262,None,France,2005,1,28,1,1,1,0,-38.4,0.00%,12.50%,10.50%,26.60%,0.00%
Iman Shumpert,CLE,26,5-Jun,220,Georgia Tech,USA,2011,1,17,49,7.8,3,1.6,2.6,2.70%,10.20%,13.70%,57.20%,8.70%
Isaiah Canaan,CHI,25,Jun-00,201,Murray State,USA,2013,2,34,29,5.6,1.6,1.1,-5.8,1.20%,8.00%,15.40%,49.10%,9.50%
Isaiah Thomas,BOS,28,9-May,185,Washington,USA,2011,2,60,47,29.9,2.7,6.4,3.4,2.00%,6.90%,33.90%,62.70%,32.80%
Isaiah Whitehead,BKN,21,4-Jun,213,Seton Hall,USA,2016,2,42,43,7,2.6,3,-2.8,1.50%,10.20%,18.50%,46.50%,19.10%
Ish Smith,DET,28,Jun-00,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,51,8.2,2.6,4.9,1.2,1.30%,10.80%,19.00%,47.10%,30.40%
