Player,Player Anonymized,Team,Position,Rand,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played,Height (Inches),Weight (Pounds)
Kristaps Porzingis,170,NYK,Power Forward,0.58716463,3.4,1.1,1.3,1.9,12.3,5.2,3.3,2.8,28.5,2.8,14.3,1.8,0.7,7.3,1.7,72,87,240
Tyreke Evans,167,NOR,Shooting Guard,0.339191415,3.4,1.3,6.6,0.3,12.5,5.4,3.7,3,30.6,2.6,15.2,0.8,1.3,5.2,2.9,25,78,220
Brook Lopez,166,BRO,Center,0.517743025,0.2,0,2,1.7,15.8,8.1,5.5,4.3,33.7,2.9,20.6,2.8,0.8,7.9,2.4,73,84,265
Klay Thompson,162,GSW,Shooting Guard,0.745889289,8.1,3.5,2.1,0.6,17.3,8.1,2.8,2.4,33.3,1.9,22.1,0.4,0.8,3.8,1.7,80,79,205
Serge Ibaka,161,OKL,Power Forward,0.412022339,2.4,0.8,0.8,1.9,11.1,5.3,1.6,1.2,32.1,2.7,12.6,1.8,0.5,6.8,1.4,78,82,236
Zaza Pachulia,136,DAL,Center,0.566739883,0,0,1.7,0.3,6.2,2.9,3.6,2.8,26.4,2.4,8.6,3.3,0.8,9.4,1.6,76,83,275
Stephen Curry,134,GSW,Point Guard,0.886778585,11.2,5.1,6.7,0.2,20.2,10.2,5.1,4.6,34.2,2,30.1,0.9,2.1,5.4,3.3,79,75,190
Kevin Love,128,CLE,Power Forward,0.88140169,5.7,2.1,2.4,0.5,12.7,5.3,4.1,3.4,31.5,2.1,16,1.9,0.8,9.9,1.8,77,82,251
Marcin Gortat,127,WAS,Center,0.281759809,0,0,1.4,1.3,10.2,5.8,2.8,1.9,30.1,2.6,13.5,2.9,0.6,9.9,1.6,75,83,240
Hassan Whiteside,114,MIA,Center,0.129668966,0,0,0.4,3.7,9.3,5.6,4.5,2.9,29.1,2.8,14.2,3.3,0.6,11.8,1.9,73,84,265
Ryan Anderson,113,NOR,Power Forward,0.471798816,5.4,2,1.1,0.4,14.1,6,3.5,3,30.5,1.7,17,2,0.6,6,1.4,66,82,240
Julius Randle,107,LAL,Power Forward,0.229562727,0.4,0.1,1.8,0.4,10.3,4.4,3.3,2.4,28.2,3,11.3,2.1,0.7,10.2,1.8,81,81,249
