Player,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played
Jeff Teague,ATL,Point Guard,3.5,1.4,5.9,0.3,12.5,5.5,3.9,3.3,28.5,2.1,15.7,0.4,1.2,2.7,2.8,79
Mirza Teletovic,PHO,Power Forward,5.8,2.3,1.1,0.3,9.8,4.2,2,1.5,21.3,2,12.2,0.7,0.4,3.8,1.1,79
Kyle Anderson,SAN,Small Forward,0.5,0.2,1.6,0.4,3.8,1.8,1.1,0.8,16,1.2,4.5,0.3,0.8,3.1,0.8,78
Demar Derozan,TOR,Shooting Guard,1.8,0.6,4,0.3,17.7,7.9,8.4,7.1,35.9,2.1,23.5,0.8,1.1,4.5,2.2,78
Aaron Gordon,ORL,Power Forward,1.8,0.5,1.6,0.7,7.4,3.5,2.5,1.7,23.9,2,9.2,2,0.8,6.5,0.8,78
Jamychal Green,MEM,Power Forward,0.6,0.2,0.9,0.4,6.3,2.9,1.8,1.3,18.5,2.4,7.4,1.8,0.6,4.8,1.1,78
Maurice Harkless,POR,Small Forward,1.8,0.5,0.9,0.4,5.3,2.5,1.4,0.9,18.6,1.6,6.4,1.3,0.6,3.6,0.8,78
Serge Ibaka,OKL,Power Forward,2.4,0.8,0.8,1.9,11.1,5.3,1.6,1.2,32.1,2.7,12.6,1.8,0.5,6.8,1.4,78
Jonas Jerebko,BOS,Power Forward,1.4,0.6,0.8,0.3,3.7,1.5,1,0.8,15.1,1.8,4.4,1,0.3,3.7,0.7,78
Kosta Koufos,SAC,Center,0,0,0.4,0.9,5.7,3,1.3,0.7,19.1,2.4,6.8,2.2,0.5,5.4,0.6,78
Shane Larkin,BRO,Point Guard,1.4,0.5,4.4,0.2,6.5,2.8,1.4,1.1,22.5,1.6,7.3,0.4,1.2,2.3,1.9,78
Alex Len,PHO,Center,0.1,0,1.2,0.8,8,3.4,3.1,2.2,23.3,2.9,9,2.3,0.5,7.6,1.9,78
Jeremy Lin,CHA,Point Guard,2.9,1,3,0.5,9.3,3.8,3.7,3.1,26.2,2.1,11.7,0.5,0.8,3.2,1.9,78
Shaun Livingston,GSW,Point Guard,0.2,0,3.1,0.3,4.9,2.6,1.2,1,19.4,1.8,6.3,0.5,0.7,2.2,1,78
Wesley Matthews,DAL,Shooting Guard,6.7,2.4,1.9,0.2,10.9,4.2,1.9,1.6,33.9,2.3,12.5,0.3,1,3.1,1,78
